FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
750,751,480,4,Queens,048000,4048000,I,QN61,Jamaica,4112,6510.424845880000200,6510.424787629999600,2484765.380940000100000,0
751,752,500,4,Queens,050000,4050000,E,QN07,Hollis,4112,10937.197699400000000,10937.197725500000000,3612066.180950000000000,0
752,753,64,2,Bronx,006400,2006400,E,BX08,West Farms-Bronx River,3709,5786.328891270000000,5786.328709100000200,1838840.101300000000000,0
753,754,233.02,2,Bronx,023302,2023302,E,BX41,Mount Hope,3707,3601.911511310000200,3601.911742140000100,678959.353024999960000,0
754,755,235.02,2,Bronx,023502,2023502,E,BX41,Mount Hope,3707,6434.824540610000400,6434.824559020000400,1034951.002729999900000,0
755,756,188,4,Queens,018800,4018800,I,QN76,Baisley Park,4112,6955.464527969999800,6955.463846720000200,1901478.700909999900000,0
756,757,192,4,Queens,019200,4019200,I,QN76,Baisley Park,4112,8038.559679760000100,8038.559872820000200,2141522.010799999800000,0
757,758,174,4,Queens,017400,4017400,I,QN55,South Ozone Park,4113,7456.079572960000400,7456.080256700000100,2073990.865539999900000,0
758,759,176,4,Queens,017600,4017600,E,QN55,South Ozone Park,4113,7440.499792929999800,7440.500054600000100,2068075.647880000100000,0
759,760,1435,4,Queens,143500,4143500,I,QN46,Bayside-Bayside Hills,4104,8640.845904890000400,8640.846405890000800,3803289.045479999900000,0
760,761,1211,4,Queens,121100,4121100,I,QN99,park-cemetery-etc-Queens,4103,15525.286583900001000,15525.286263600001000,11184981.789100001000000,5
761,762,138,4,Queens,013800,4013800,I,QN60,Kew Gardens,4111,8140.421838450000000,8140.421713789999600,1828863.734960000000000,0
762,763,284,4,Queens,028400,4028400,I,QN76,Baisley Park,4112,8934.816238109999200,8934.816769679999200,4618712.547989999900000,0
763,764,580,4,Queens,058000,4058000,I,QN34,Queens Village,4105,11859.697633600001000,11859.697898099999000,5917014.485990000000000,0
764,765,713.03,4,Queens,071303,4071303,I,QN17,Forest Hills,4108,6017.517353870000100,6017.517401129999600,1571444.154550000100000,1
765,766,779.02,4,Queens,077902,4077902,I,QN37,Kew Gardens Hills,4106,10935.868434300000000,10935.868460600001000,6065853.974120000400000,0
766,767,779.07,4,Queens,077907,4077907,E,QN37,Kew Gardens Hills,4106,6170.514179240000000,6170.514106669999800,2307804.280009999900000,1
767,768,170,4,Queens,017000,4017000,I,QN55,South Ozone Park,4113,7740.702137360000100,7740.702250549999900,2379227.071469999800000,0
768,769,194,4,Queens,019400,4019400,I,QN01,South Jamaica,4112,7753.725022270000400,7753.725537119999900,3230544.413600000100000,0
769,770,22,3,Brooklyn,002200,3002200,E,BK32,Sunset Park West,4012,10231.914166099999000,10231.914080200000000,3690653.838760000200000,0
770,771,119,2,Bronx,011900,2011900,E,BX27,Hunts Point,3710,5563.354183919999700,5563.354439800000400,1794111.287449999900000,2
771,772,974,3,Brooklyn,097400,3097400,I,BK50,Canarsie,4009,7198.095599330000400,7198.095810679999900,2712076.578290000100000,0
772,773,1098,3,Brooklyn,109800,3109800,I,BK82,East New York,4008,13569.356410300001000,13569.355750700000000,9189937.822440000300000,1
773,774,445,3,Brooklyn,044500,3044500,E,BK77,Bushwick North,4002,5590.854733060000400,5590.854765009999900,1827455.983509999900000,0
