,GEO.id2,PUMA,youth_pop,Income,Education_level,hotspot,withoutHSI,WithoutDevice,score,RANK
1648,36047018400,04017,25.1963752681,74.1468833148,45.794106005,100.0,36.6467301683,15.6605593057,60.4434758212,1649
1649,36085027706,03902,28.816820718,70.2642659709,55.152394775,100.0,31.249054025,15.1924181505,60.4419061544,1650
1650,36081145900,04104,30.4617337466,72.4100815444,45.3962972141,100.0,10.1789827944,10.4415536403,60.4112680076,1651
1651,36061006800,03808,62.0961741192,59.1309102495,54.0868646738,100.0,6.74239416176,6.39482732845,60.3887755554,1652
1652,36081109900,04104,31.2933158192,71.0861684448,48.8548920606,100.0,10.1789827944,10.4415536403,60.3741196006,1653
1653,36081140300,04104,27.0115730858,71.0594749124,54.0953123226,100.0,10.1789827944,10.4415536403,60.3712743099,1654
1654,36047011900,04005,46.0104277315,68.4960347188,40.1393399447,100.0,1.53948632809,7.27419030376,60.3521343246,1655
1655,36081026200,04112,30.5941725291,75.3963128482,34.3190614417,100.0,41.6849237487,18.4974882428,60.3517389691,1656
1656,36081066501,04110,20.161269796,73.2117485986,54.9396288176,96.9696969697,19.6409484794,13.1763419121,60.2927810352,1657
1657,36081098100,04103,27.1032800032,72.066079409,49.9440614417,100.0,32.0560553359,22.471582629,60.2907345712,1658
1658,36081042400,04112,35.1675066441,72.352819612,39.1259047088,100.0,41.6849237487,18.4974882428,60.2773163604,1659
1659,36047072600,04009,33.0018891165,69.924138703,50.2343619882,100.0,28.9517597448,13.8927392503,60.26165826,1660
1660,36085027705,03902,31.7252116785,71.0035046025,47.8769679005,100.0,31.249054025,15.1924181505,60.248409094,1661
1661,36081035200,04112,32.7813243815,73.0705312013,39.2725664489,100.0,41.6849237487,18.4974882428,60.2451142202,1662
1662,36061014602,03805,47.1357011813,63.7945286869,54.5658845111,100.0,0.0,5.34927463035,60.2101938564,1663
1663,36085029103,03902,28.6933726951,71.9373476962,47.9823440136,100.0,31.249054025,15.1924181505,60.2069244645,1664
1664,36005045600,03702,31.6036114516,72.453135629,42.4437940048,100.0,44.2267445465,19.192505019,60.172548626,1665
1665,36085003600,03903,32.7939884507,73.5445566721,37.1196078898,100.0,33.5784476048,20.1846986961,60.1677938483,1666
1666,36081050202,04112,38.1099673294,68.3612754342,48.8407576942,100.0,41.6849237487,18.4974882428,60.1338158464,1667
1667,36081004500,04101,21.748457354,73.4765312185,50.3904900131,100.0,19.9195885235,12.6296892737,60.1194002102,1668
1668,36061025700,03803,36.5173086443,71.8056021975,39.6628281619,93.9393939394,56.2081756036,21.1534417496,60.0926611634,1669
1669,36085018901,03903,24.3524782147,71.3828110873,55.152394775,96.9696969697,33.5784476048,20.1846986961,60.0910865383,1670
1670,36047059600,04016,17.5040715329,75.5259056427,48.0784397911,100.0,33.7069399413,17.0849024945,60.089022218,1671
1671,36081010000,04113,26.598226616,76.1648282573,34.839894775,100.0,22.6127396831,15.1524710831,60.0868772097,1672
1672,36081054200,04105,36.064202564,69.066501339,48.4813679601,100.0,15.7357361117,9.82586649765,60.0781773405,1673
1673,36081103202,04114,35.0445889553,75.5672375638,27.3102895119,96.9696969697,35.0973603822,21.7267576289,60.0661453896,1674
1674,36047093200,04010,28.1175644246,70.5411037345,52.7551345011,100.0,44.3487522849,21.6067519867,60.0626554233,1675
1675,36047019700,04004,26.5229424286,71.0284759715,53.5858151406,96.9696969697,24.9479904045,12.6145345177,60.0570844582,1676
1676,36047083400,04010,30.1181065129,71.372478107,47.3025654235,100.0,44.3487522849,21.6067519867,60.0459439956,1677
1677,36061006100,03810,64.6042944415,58.1169865585,52.388945991,100.0,5.636643901,5.28365247213,60.0097381326,1678
1678,36081055400,04105,32.6170849912,73.7865206272,35.3248085681,100.0,15.7357361117,9.82586649765,59.9745379496,1679
1679,36047015200,04013,33.0629829294,73.7240922046,34.4971241198,100.0,25.927690812,15.1283159433,59.8888616898,1680
1680,36081094500,04103,27.7821811793,72.9482576012,43.4959530572,100.0,32.0560553359,22.471582629,59.8699060997,1681
1681,36005028800,03704,21.9872806109,72.0238864061,53.6818065397,100.0,37.845666913,16.4885802057,59.8579494254,1682
1682,36085012500,03903,31.2739378897,70.4872861288,49.7225305216,90.9090909091,33.5784476048,20.1846986961,59.8258544103,1683
1683,36081060800,04105,32.7889071591,68.0405225044,55.152394775,96.9696969697,15.7357361117,9.82586649765,59.8144693139,1684
1684,36085013203,03901,27.2115859018,70.7727347093,51.5160311387,100.0,14.539637817,8.7031930208,59.8090242551,1685
1685,36005027401,03703,26.559394878,71.0891822307,55.152394775,81.8181818182,46.9538035493,18.6737513284,59.8055731353,1686
1686,36081033000,04112,35.0070953585,71.6432882988,38.4676710481,100.0,41.6849237487,18.4974882428,59.7135550016,1687
1687,36005045102,03702,28.5874340963,71.4353370704,46.8190614417,100.0,44.2267445465,19.192505019,59.6925826483,1688
1688,36081003400,04111,38.0345746035,71.5520136395,36.1958730359,93.9393939394,26.4081704845,11.3739965756,59.6675957917,1689
1689,36081119500,04103,28.7194480813,69.4772373055,53.4102344963,100.0,32.0560553359,22.471582629,59.6631239663,1690
1690,36085029102,03902,30.4150248989,68.5855872147,54.4778585187,100.0,31.249054025,15.1924181505,59.6561316227,1691
1691,36081143500,04104,30.4706522456,71.2407326083,44.8527693069,100.0,10.1789827944,10.4415536403,59.6282078468,1692
1692,36081046400,04106,46.1801477287,64.2754428113,50.4794975788,100.0,25.6844950318,13.1230665031,59.6168777671,1693
1693,36047066000,04009,27.6657513981,69.4526964773,54.4312409289,100.0,28.9517597448,13.8927392503,59.6067108813,1694
1694,36081065000,04105,34.3463650895,70.2448916329,43.494363687,100.0,15.7357361117,9.82586649765,59.5934187216,1695
1695,36081029400,04112,27.9886968837,75.7377317386,34.1958183119,87.8787878788,41.6849237487,18.4974882428,59.5605741859,1696
1696,36085009700,03903,29.5249865654,73.5032247509,45.7368103595,60.6060606061,33.5784476048,20.1846986961,59.4775600274,1697
1697,36005033500,03701,41.596319649,66.2150293198,48.2959911528,100.0,36.3790395403,16.7574640181,59.474280637,1698
1698,36081047200,04106,22.9007545793,72.6188938545,48.1822667523,100.0,25.6844950318,13.1230665031,59.4732923038,1699
1699,36085011201,03902,27.8213223776,71.3345905126,52.7030704507,72.7272727273,31.249054025,15.1924181505,59.4609842951,1700
1700,36081155102,04105,27.0897069547,69.9538460214,52.2746969333,100.0,15.7357361117,9.82586649765,59.4258214544,1701
1701,36047018000,04017,26.1325273923,80.2153565309,17.1089165142,100.0,36.6467301683,15.6605593057,59.421806117,1702
1702,36085002001,03903,34.7931830551,68.89385446,46.5854165819,100.0,33.5784476048,20.1846986961,59.400721844,1703
1703,36061008900,03807,41.1314766305,66.2133071564,51.7305357352,84.8484848485,14.2679710987,7.90933146454,59.3976469579,1704
1704,36047014100,04005,43.206209887,64.526878665,51.8190614417,100.0,1.53948632809,7.27419030376,59.3892688101,1705
1705,36085000800,03903,26.4010480632,70.6237675768,50.4803372728,100.0,33.5784476048,20.1846986961,59.3830245997,1706
1706,36081157901,04105,29.2139439831,70.1574918413,48.6692686649,100.0,15.7357361117,9.82586649765,59.3715330916,1707
1707,36081048200,04112,34.6448874659,68.3883995075,48.3513872184,100.0,41.6849237487,18.4974882428,59.367062032,1708
1708,36081103300,04103,24.6083503473,71.2204971886,50.2895518823,100.0,32.0560553359,22.471582629,59.3424795531,1709
1709,36085007400,03902,26.2772901854,72.6438652235,43.8847891412,96.9696969697,31.249054025,15.1924181505,59.3386703938,1710
1710,36081001200,04111,25.1898601564,74.8723446393,37.190739881,96.9696969697,26.4081704845,11.3739965756,59.3180539453,1711
1711,36081003200,04111,30.3080217494,71.3552564732,42.652394775,100.0,26.4081704845,11.3739965756,59.2942133153,1712
1712,36005048400,03702,32.3633949997,73.8993223287,33.159685176,90.9090909091,44.2267445465,19.192505019,59.2924332843,1713
